INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
Alabama A & M University,Normal,AL,0.9175,430,510,410,500,370,457,939,5271,23053
University of Alabama at Birmingham,Birmingham,AL,0.7366,560,680,530,685,NULL,NULL,1234,13328,24495
Amridge University,Montgomery,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,365,14800
University of Alabama in Huntsville,Huntsville,AL,0.8257,617,720,620,770,NULL,NULL,1319,7785,23917
Alabama State University,Montgomery,AL,0.969,450,510,430,510,NULL,NULL,946,3750,21866
The University of Alabama,Tuscaloosa,AL,0.8268,550,660,530,680,480,600,1261,31900,29872
Central Alabama Community College,Alexander City,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1201,10493
Athens State University,Athens,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2677,NULL
Auburn University at Montgomery,Montgomery,AL,0.9044,470,570,450,580,NULL,NULL,1082,4407,19849
Auburn University,Auburn,AL,0.8067,580,650,570,670,520,620,1300,24209,31590
Birmingham-Southern College,Birmingham,AL,0.5381,570,660,540,650,NULL,NULL,1230,1205,32095
Chattahoochee Valley Community College,Phenix City,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1394,7338
South University-Montgomery,Montgomery,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,28258
Enterprise State Community College,Enterprise,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1332,9393
Coastal Alabama Community College,Bay Minette,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5508,15251
Faulkner University,Montgomery,AL,0.7833,500,590,500,570,430,510,1066,1928,34317
Gadsden State Community College,Gadsden,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3968,10346
New Beginning College of Cosmetology,Albertville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL
George C Wallace Community College-Dothan,Dothan,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3649,9863
George C Wallace State Community College-Hanceville,Hanceville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4429,12144
George C Wallace State Community College-Selma,Selma,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1034,10657
Herzing University-Birmingham,Birmingham,AL,0.7826,NULL,NULL,NULL,NULL,NULL,NULL,NULL,565,30119
Huntingdon College,Montgomery,AL,0.5929,530,595,505,585,NULL,NULL,1076,1007,36828
Heritage Christian University,Florence,AL,0.2353,NULL,NULL,NULL,NULL,300,560,NULL,59,20695
J. F. Drake State Community and Technical College,Huntsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,649,12586
J F Ingram State Technical College,Deatsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,485,5940
Jacksonville State University,Jacksonville,AL,0.5479,480,590,450,570,NULL,NULL,1084,6743,19004
Jefferson State Community College,Birmingham,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6548,13716
John C Calhoun State Community College,Tanner,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7728,10292
Judson College,Marion,AL,0.3724,NULL,NULL,NULL,NULL,NULL,NULL,1020,245,32691
Lawson State Community College,Birmingham,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3047,14982
University of West Alabama,Livingston,AL,0.3493,440,520,420,500,420,530,1041,2235,21657
Lurleen B Wallace Community College,Andalusia,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1204,13876
Marion Military Institute,Marion,AL,0.5761,560,650,540,650,NULL,NULL,1147,406,18568
Miles College,Fairfield,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1452,22300
University of Mobile,Mobile,AL,0.4566,540,590,470,570,NULL,NULL,1166,1192,36104
University of Montevallo,Montevallo,AL,0.532,520,620,510,620,470,585,1135,2200,24746
Northwest-Shoals Community College,Muscle Shoals,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2537,12866
University of North Alabama,Florence,AL,0.8878,520,610,495,570,NULL,NULL,1148,5513,20886
Northeast Alabama Community College,Rainsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1975,9140
Oakwood University,Huntsville,AL,0.6473,450,578,403,530,NULL,NULL,1010,1442,37169
Reid State Technical College,Evergreen,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327,9252
